링크,이름,가격
https://m.bobaedream.co.kr/mycar/mview/2230950/K/31/1/,KG모빌리티(쌍용) 뉴 코란도 C 2.2 디젤 2WD  RX 최고급형,870만원
https://m.bobaedream.co.kr/mycar/mview/2230325/K/26/1/,르노코리아(삼성) SM3 네오 (14~19년) 1.6 SE,770만원
https://m.bobaedream.co.kr/mycar/mview/2226339/K/3/1/,기아 K5 하이브리드 (11~15년) 2.0 HEV 프레스티지,590만원
https://m.bobaedream.co.kr/mycar/mview/2225910/K/3/1/,기아 더 뉴 K7 (12~16년) 3.0 LPi 럭셔리,580만원
https://m.bobaedream.co.kr/mycar/mview/2228431/K/26/1/,르노코리아(삼성) SM5 뉴 임프레션 2.0  SE 블랙,290만원
https://m.bobaedream.co.kr/mycar/mview/2225542/K/105/1/,쉐보레(국산) 더 뉴 트랙스 (16년~현재) 1.4 가솔린 프리미어,990만원
https://m.bobaedream.co.kr/mycar/mview/2227415/K/8/1/,GM대우 라세티 프리미어 (08~11년) 1.8 CDX ID 고급형,290만원
https://m.bobaedream.co.kr/mycar/mview/2225024/K/26/1/,르노코리아(삼성) SM5 노바 (15~19년) 2.0 클래식,870만원
https://m.bobaedream.co.kr/mycar/mview/2226875/K/26/1/,르노코리아(삼성) 뉴 QM5 (11~14년) 2.0 가솔린 2WD LE20,495만원
https://m.bobaedream.co.kr/mycar/mview/2220487/K/105/1/,쉐보레(국산) 올란도 2.0 디젤 LTZ 프리미엄,450만원
https://m.bobaedream.co.kr/mycar/mview/2225627/K/3/1/,기아 레이 (11~17년) 1.0 바이퓨얼 프레스티지,790만원
https://m.bobaedream.co.kr/mycar/mview/2225911/K/31/1/,KG모빌리티(쌍용) 코란도 C (11~13년) 2.0 디젤 2WD 클러비 파크,370만원
https://m.bobaedream.co.kr/mycar/mview/2225381/K/26/1/,르노코리아(삼성) SM5 뉴 임프레션 (07~10년) 2.0 LE,240만원
https://m.bobaedream.co.kr/mycar/mview/2223730/K/26/1/,르노코리아(삼성) 뉴 SM5 (신형) 2.0 SE 플러스,270만원
https://m.bobaedream.co.kr/mycar/mview/2224980/K/105/1/,쉐보레(국산) 더 뉴 트랙스 1.6 디젤  LT,950만원
https://m.bobaedream.co.kr/mycar/mview/2224372/K/49/1/,현대 아슬란 3.0  G300 모던 베이직,770만원
https://m.bobaedream.co.kr/mycar/mview/2224373/K/26/1/,르노코리아(삼성) SM6 2.0  SE,790만원
https://m.bobaedream.co.kr/mycar/mview/2224619/K/49/1/,현대 LF쏘나타 2.0 LPi (택시형)  스타일,390만원
https://m.bobaedream.co.kr/mycar/mview/2218189/K/26/1/,르노코리아(삼성) SM5 뉴 임프레션 (07~10년) 2.0 LE 익스클루시브,350만원
https://m.bobaedream.co.kr/mycar/mview/2222098/K/26/1/,르노코리아(삼성) 뉴 QM3 1.5 디젤  RE 시그니처,990만원
https://m.bobaedream.co.kr/mycar/mview/2223532/K/31/1/,KG모빌리티(쌍용) 코란도 투리스모 (13~19년) 2.0 디젤 4WD 어드벤쳐 60th 에디션 11인승,470만원
https://m.bobaedream.co.kr/mycar/mview/2217356/K/3/1/,기아 로체 이노베이션 (08~10년) 2.0 LPi LX 최고급형 스페셜,420만원
https://m.bobaedream.co.kr/mycar/mview/2219998/K/26/1/,르노코리아(삼성) QM5 2.0 디젤 4WD  LE,370만원
https://m.bobaedream.co.kr/mycar/mview/2220948/K/26/1/,르노코리아(삼성) 올 뉴 SM7 2.5  RE,490만원
https://m.bobaedream.co.kr/mycar/mview/2222372/K/49/1/,현대 i40 1.7 디젤 왜건  스마트,420만원
https://m.bobaedream.co.kr/mycar/mview/2210086/K/105/1/,쉐보레(국산) 스파크 1.0 LS 플러스,230만원
https://m.bobaedream.co.kr/mycar/mview/2221338/K/3/1/,기아 포르테 (08~13년) 1.6 프레스티지,450만원
https://m.bobaedream.co.kr/mycar/mview/2222653/K/31/1/,KG모빌리티(쌍용) 뉴 코란도 C 2.0 디젤 2WD CVT 고급형,470만원
https://m.bobaedream.co.kr/mycar/mview/2220686/K/49/1/,현대 쏘나타 하이브리드 (11~14년) 2.0 HEV 스마트,550만원
https://m.bobaedream.co.kr/mycar/mview/2213067/K/26/1/,르노코리아(삼성) 뉴 QM5 (11~14년) 2.0 디젤 2WD LE,380만원
https://m.bobaedream.co.kr/mycar/mview/2221539/K/49/1/,현대 아반떼HD 1.6  S16 럭셔리,250만원
https://m.bobaedream.co.kr/mycar/mview/2208072/K/26/1/,르노코리아(삼성) SM3 네오 (14~19년) 1.6 LE,490만원
https://m.bobaedream.co.kr/mycar/mview/2208826/K/8/1/,GM대우 라세티 프리미어 (08~11년) 1.8 CDX ID 고급형,320만원
https://m.bobaedream.co.kr/mycar/mview/2221119/K/31/1/,KG모빌리티(쌍용) 티볼리 1.6 가솔린 2WD TX,750만원
https://m.bobaedream.co.kr/mycar/mview/2219161/K/49/1/,현대 제네시스 BH330  그랜드,430만원
https://m.bobaedream.co.kr/mycar/mview/2221124/K/49/1/,현대 YF쏘나타 2.0 LPi (장애인용)  프리미어,450만원
https://m.bobaedream.co.kr/mycar/mview/2218138/K/26/1/,르노코리아(삼성) SM6 2.0 LPe (장애인용) SE,855만원
https://m.bobaedream.co.kr/mycar/mview/2219308/K/49/1/,현대 아반떼MD (10~14년) 1.6 M16 럭셔리,420만원
https://m.bobaedream.co.kr/mycar/mview/2207693/K/26/1/,르노코리아(삼성) SM5 노바 2.0 클래식,679만원
https://m.bobaedream.co.kr/mycar/mview/2218026/K/49/1/,현대 그랜저 뉴 럭셔리 Q270 LPi (장애인용),320만원
https://m.bobaedream.co.kr/mycar/mview/2220222/K/105/1/,쉐보레(국산) 더 뉴 트랙스 (16년~현재) 1.4 가솔린 LT 코어,830만원
https://m.bobaedream.co.kr/mycar/mview/2218849/K/3/1/,기아 더 뉴 K9 (14~18년) 3.3 이그제큐티브,995만원
https://m.bobaedream.co.kr/mycar/mview/2219549/K/3/1/,기아 스포티지R (10~13년) 2.0 디젤 2WD TLX 고급형,490만원
https://m.bobaedream.co.kr/mycar/mview/2217359/K/3/1/,기아 포르테 (08~13년) 1.6 디럭스,285만원
https://m.bobaedream.co.kr/mycar/mview/2218187/K/3/1/,기아 올 뉴 카니발 (14~18년) 2.2 디젤 9인승 럭셔리,990만원
https://m.bobaedream.co.kr/mycar/mview/2219371/K/3/1/,기아 포르테 (08~13년) LPi HEV 최고급형,450만원
https://m.bobaedream.co.kr/mycar/mview/2217611/K/105/1/,쉐보레(국산) 더 넥스트 스파크 1.0  LTZ,530만원
https://m.bobaedream.co.kr/mycar/mview/2215094/K/31/1/,KG모빌리티(쌍용) 티볼리 (15~17년) 1.6 가솔린 2WD VX,"1,070만원"
https://m.bobaedream.co.kr/mycar/mview/2217788/K/26/1/,르노코리아(삼성) 뉴 SM5 (신형) (10~12년) 2.0 LPLi (장애인용) LE,230만원
https://m.bobaedream.co.kr/mycar/mview/2217890/K/8/1/,GM대우 알페온 (10~15년) EL300 스페셜,370만원
https://m.bobaedream.co.kr/mycar/mview/2217131/K/49/1/,현대 뉴 에쿠스 3.8 VS380 프레스티지,790만원
https://m.bobaedream.co.kr/mycar/mview/2214976/K/31/1/,KG모빌리티(쌍용) 티볼리 아머 1.6 가솔린 2WD  TX,"1,050만원"
https://m.bobaedream.co.kr/mycar/mview/2216255/K/49/1/,현대 그랜저HG 하이브리드 2.4 HEV 프리미엄,770만원
https://m.bobaedream.co.kr/mycar/mview/2216818/K/26/1/,르노코리아(삼성) SM7 뉴 아트 (08~11년) 2.3 SE23 플레저,320만원
https://m.bobaedream.co.kr/mycar/mview/2216396/K/26/1/,르노코리아(삼성) 뉴SM5 플래티넘 (12~15년) 2.0 LPLi (장애인용) RE,550만원
https://m.bobaedream.co.kr/mycar/mview/2210712/K/26/1/,르노코리아(삼성) 뉴SM5 플래티넘 (12~15년) 1.6 터보 TCE S/S 컬렉션,550만원
https://m.bobaedream.co.kr/mycar/mview/2216189/K/26/1/,르노코리아(삼성) QM3 1.5 디젤  RE 시그니처 쇼콜라 브라운,750만원
https://m.bobaedream.co.kr/mycar/mview/2211433/K/3/1/,기아 올 뉴 모닝 (17~20년) 1.0 밴 고급형,650만원
https://m.bobaedream.co.kr/cyber/cview/692319/I/1/1/,BMW 320d 네비 패키지,"2,450만원"
https://m.bobaedream.co.kr/cyber/cview/671558/I/1/1/,지프 랭글러 2.8 사하라 4도어,"3,250만원"
https://m.bobaedream.co.kr/cyber/cview/344598/K/1/1/,삼성 SM520V,790만원
https://m.bobaedream.co.kr/cyber/cview/345186/K/1/1/,GM대우 토스카 2.0 LPG,510만원
https://m.bobaedream.co.kr/cyber/cview/354311/K/1/1/,현대 EF쏘나타 2.0 골드,350만원
https://m.bobaedream.co.kr/cyber/cview/334418/I/1/1/,링컨 LS 3.0,740만원
https://m.bobaedream.co.kr/mycar/mview/2238642/K/3/1/,기아 K5 하이브리드 (11~15년) 2.0 HEV 500H 프레스티지,770만원
https://m.bobaedream.co.kr/mycar/mview/2239179/K/49/1/,현대 그랜저HG 300  프리미엄,980만원
https://m.bobaedream.co.kr/mycar/mview/2237441/K/3/1/,기아 뉴 페이스 카렌스 2.0 LPi GX 최고급형,560만원
https://m.bobaedream.co.kr/mycar/mview/2238758/K/31/1/,KG모빌리티(쌍용) 렉스턴 스포츠 2.2 디젤 4WD  프레스티지 스페셜,"1,990만원"
https://m.bobaedream.co.kr/mycar/mview/2238530/K/3/1/,기아 스포티지R 2.0 디젤 2WD  리미티드,790만원
https://m.bobaedream.co.kr/mycar/mview/2237695/I/5/1/,닛산 알티마 5세대 2.5,660만원
https://m.bobaedream.co.kr/mycar/mview/2237980/K/49/1/,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 3인승  스타일,"1,870만원"
https://m.bobaedream.co.kr/mycar/mview/2238012/K/3/1/,기아 더 뉴 스포티지R 2.0 디젤 2WD  트렌디,810만원
https://m.bobaedream.co.kr/mycar/mview/2238537/K/49/1/,현대 엑센트 (신형) 1.6  모던,550만원
https://m.bobaedream.co.kr/mycar/mview/2237978/K/3/1/,기아 더 뉴 쏘렌토 2.2 디젤 2WD  No.1 에디션,"1,900만원"
https://m.bobaedream.co.kr/mycar/mview/2238210/K/49/1/,현대 그랜저IG 하이브리드 2.4 HEV  익스클루시브 스페셜,"2,030만원"
https://m.bobaedream.co.kr/mycar/mview/2237611/K/3/1/,기아 더 뉴 쏘렌토 2.2 디젤 2WD 노블레스 스페셜,"2,030만원"
https://m.bobaedream.co.kr/mycar/mview/2237697/K/26/1/,르노코리아(삼성) SM7 노바 2.0 LPe (장애인용),780만원
https://m.bobaedream.co.kr/mycar/mview/2238403/K/3/1/,기아 올 뉴 모닝 1.0 럭셔리,730만원
https://m.bobaedream.co.kr/mycar/mview/2238642/K/3/1/,기아 K5 하이브리드 (11~15년) 2.0 HEV 500H 프레스티지,770만원
https://m.bobaedream.co.kr/mycar/mview/2239179/K/49/1/,현대 그랜저HG 300  프리미엄,980만원
https://m.bobaedream.co.kr/mycar/mview/2237441/K/3/1/,기아 뉴 페이스 카렌스 2.0 LPi GX 최고급형,560만원
https://m.bobaedream.co.kr/mycar/mview/2238758/K/31/1/,KG모빌리티(쌍용) 렉스턴 스포츠 2.2 디젤 4WD  프레스티지 스페셜,"1,990만원"
https://m.bobaedream.co.kr/mycar/mview/2238530/K/3/1/,기아 스포티지R 2.0 디젤 2WD  리미티드,790만원
https://m.bobaedream.co.kr/mycar/mview/2237695/I/5/1/,닛산 알티마 5세대 2.5,660만원
https://m.bobaedream.co.kr/mycar/mview/2237980/K/49/1/,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 3인승  스타일,"1,870만원"
https://m.bobaedream.co.kr/mycar/mview/2238012/K/3/1/,기아 더 뉴 스포티지R 2.0 디젤 2WD  트렌디,810만원
https://m.bobaedream.co.kr/mycar/mview/2238537/K/49/1/,현대 엑센트 (신형) 1.6  모던,550만원
https://m.bobaedream.co.kr/mycar/mview/2237978/K/3/1/,기아 더 뉴 쏘렌토 2.2 디젤 2WD  No.1 에디션,"1,900만원"
https://m.bobaedream.co.kr/mycar/mview/2238210/K/49/1/,현대 그랜저IG 하이브리드 2.4 HEV  익스클루시브 스페셜,"2,030만원"
https://m.bobaedream.co.kr/mycar/mview/2237611/K/3/1/,기아 더 뉴 쏘렌토 2.2 디젤 2WD 노블레스 스페셜,"2,030만원"
